State,Action,Q-Value
"((5, 1), 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'e')",L,9.999999999999977
"((5, 1), 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'e')",R,0.0
"((5, 1), 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'e')",P,0.0
"((5, 2), 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'e')",L,9.999999999999977
"((5, 2), 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'e')",R,0.0
"((5, 2), 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'e')",P,0.0
"((5, 0), 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'e')",L,9.999999999999977
"((5, 0), 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'e')",R,0.0
"((5, 0), 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'e')",P,0.0
"((5, 0), 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e')",L,-6.980351153369999
"((5, 0), 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e')",R,9.999999999999977
"((5, 0), 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e')",P,0.0
"((5, 0), 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e')",L,-29.619
"((5, 0), 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e')",R,-29.7
"((5, 0), 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e')",P,-50.3165649627
"((5, 0), 'e', 'e', 'b', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'e')",L,9.999999999999977
"((5, 0), 'e', 'e', 'b', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'e')",R,0.0
"((5, 0), 'e', 'e', 'b', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'e')",P,0.0
"((5, 0), 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e')",L,-7.136649
"((5, 0), 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e')",R,9.999999999999977
"((5, 0), 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e')",P,0.0
"((5, 0), 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'b', 'e', 'e')",L,-50.489999999999995
"((5, 0), 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'b', 'e', 'e')",R,-29.7
"((5, 0), 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'b', 'e', 'e')",P,-29.7
"((5, 0), 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e')",L,9.999999999999977
"((5, 0), 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e')",R,0.0
"((5, 0), 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e')",P,0.0
"((5, 1), 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e')",L,0.0
"((5, 1), 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e')",R,0.0
"((5, 1), 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e')",P,0.0
"((5, 1), 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e')",L,0.0
"((5, 1), 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e')",R,0.0
"((5, 1), 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e')",P,0.0
